0.327, {'P0P_ksize': 3, 'L2_unit': 1000, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 32, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.437, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.270, {'P0P_ksize': 3, 'L2_unit': 1000, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.426, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 5, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.323, {'P0P_ksize': 3, 'L2_unit': 1000, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 5, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.437, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.283, {'P0P_ksize': 3, 'L2_unit': 1000, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.406, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 7}
0.430, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 32, 'P1C_filter': 5}
0.418, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 32, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.357, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 3, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.415, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 32, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.391, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.436, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 5, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.396, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 5, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 7}
0.425, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 5, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.412, {'P0P_ksize': 4, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.413, {'P0P_ksize': 2, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.399, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 3, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.356, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 1, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.411, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 3, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.429, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 1, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 5}
0.430, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 5, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.333, {'P0P_ksize': 3, 'L2_unit': 1000, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 5, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.427, {'P0P_ksize': 4, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.316, {'P0P_ksize': 4, 'L2_unit': 1000, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.419, {'P0P_ksize': 2, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.280, {'P0P_ksize': 2, 'L2_unit': 1000, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.433, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 3, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.274, {'P0P_ksize': 3, 'L2_unit': 1000, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 3, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.399, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 1, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.416, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 3, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.432, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 1, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.307, {'P0P_ksize': 3, 'L2_unit': 1000, 'P2P_ksize': 1, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 16, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.430, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 32, 'P1C_filter': 3}
0.426, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 32, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.309, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 3, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.436, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 5, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.435, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 5, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.432, {'P0P_ksize': 4, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.423, {'P0P_ksize': 2, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 2, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
0.425, {'P0P_ksize': 3, 'L2_unit': 500, 'P2P_ksize': 2, 'P0C_feature': 64, 'L2_dropout': 0.0, 'P1P_ksize': 3, 'P2C_filter': 3, 'P0C_filter': 3, 'P2C_feature': 8, 'N_PLayers': 2, 'L1_dropout': 0.5, 'P1C_feature': 64, 'P1C_filter': 3}
